Month/Year,Index
2/1/17,121.3579793
3/1/17,106.6963839
4/1/17,110.4240344
5/1/17,106.8251595
6/1/17,88.48338915
7/1/17,110.0679233
8/1/17,83.1181381
9/1/17,83.79073258
10/1/17,83.03103645
11/1/17,138.3632371
12/1/17,134.8739551
1/1/18,132.602981
2/1/18,100.5902548
3/1/18,80.3433151
4/1/18,96.29180315
5/1/18,91.73855096
6/1/18,111.6313631
7/1/18,107.2556611
8/1/18,82.92614261
9/1/18,66.61700363
10/1/18,107.6616864
11/1/18,88.85192869
12/1/18,113.927086
1/1/19,143.3814548
2/1/19,97.21367892
3/1/19,106.7466559
4/1/19,72.18990924
5/1/19,101.4731686
6/1/19,129.339431
7/1/19,62.91160192
8/1/19,157.164012
9/1/19,98.39380887
10/1/19,82.58660535
11/1/19,71.27745934
12/1/19,108.751824
1/1/20,94.72091348
2/1/20,110.0690651
3/1/20,290.5010868
4/1/20,433.2934595
5/1/20,403.9523324
6/1/20,255.9675911
7/1/20,269.043006
8/1/20,272.4278807
9/1/20,208.2649568
10/1/20,282.0960323
11/1/20,230.066754
12/1/20,218.270545
1/1/21,212.324448
2/1/21,146.9032196
